Band	QRG	Date	Time	Call	Rcvd Call	Correct Call	Type of Bust
20M	14035	2025-10-18	1624	N2CU	AA0FW	AA0FO	Off By One
20M	14035	2025-10-18	1624	N2CU	AA0FW	AA0FO	Off By One
40M	7034	2025-10-19	0052	K0TRL	AA2DW	AA2ZW	Off By One
40M	7278	2025-10-18	2359	KB9LGS	AA2MM	AD2MM	Off By One
80M	3823	2025-10-19	0150	KX2NY	AA2NM	AB2NM	Off By One
40M	7032	2025-10-18	1422	K4FTO	AA2OW	AA2ZW	Off By One
20M	14041	2025-10-18	2137	K5ME	AA2Z	AA2ZW	Off By One
20M	14035	2025-10-18	1521	WB0CJB	AA2ZA	AA2ZW	Off By One
20M	14033	2025-10-18	1550	K4GSX	AA2ZZW	AA2ZW	Off By One
15M	21045	2025-10-18	1849	NM2A	AA3B	AA3R	Off By One
10M	28029	2025-10-18	1642	N2GA	AA3I	AA3R	Off By One
40M	7000	2025-10-19	0101	AA2ZW	AA3IA	AA2IL	Off By Two
20M	14052	2025-10-18	1835	N2B	AA3LX	AA3R	Off By Two
10M	28064	2025-10-18	2225	WT2X	AA7IL	AA2IL	Off By One
20M	14035	2025-10-18	1549	WA0LIF	AB2CX	AB3CX	Off By One
20M	14234	2025-10-19	0017	N4QI	AB2LUV	KB2LUV	Off By One
40M	7239	2025-10-18	1910	WA3AFS	AB33CX	AB3CX	Off By One
40M	7000	2025-10-18	1948	KD2YMM	AB3C	AB3CX	Off By One
20M	14036	2025-10-18	1524	KR4AE	AB3C	AB3CX	Off By One
40M	7043	2025-10-18	1517	W8PI	AB3C	AB3CX	Off By One
80M	3544	2025-10-18	2301	W8PI	AB3C	AB3CX	Off By One
40M	7044	2025-10-19	0124	WB2WPM	AB9HFB	WB9HFK	Off By Two
80M	3550	2025-10-18	2249	KX2NY	AC2LR	AC2RL	Off By One
40M	7000	2025-10-18	1715	N2PEQ	AC3RL	AC2RL	Off By One
40M	7036	2025-10-19	0013	KX2NY	AD2KW	KD2KW	Off By One
