Standard Prefix	Number of times claimed	First QSO
ZS	1	21200	PH	2025-10-18	1815	WB2JLR	ONT	ZS1PIG	DX
ZL	1	14312	PH	2025-10-18	2159	WA2DE	KIN	ZL4CZ	DX
ZD7	1	28035	CW	2025-10-18	1619	K2ZR	NIA	ZD7BG	DX
YO	1	28382	PH	2025-10-18	1406	W2CCC	HER	YO7VXD	DX
YB	1	14258	PH	2025-10-18	1440	W2PJ	ONO	YB7ALQ	DX
TA	1	28382	PH	2025-10-18	1425	W2CCC	HER	TA3QZ	DX
S5	1	14150	PH	2025-10-18	1913	WB2JLR	ONT	S51GQ	DX
PJ7	1	14312	PH	2025-10-18	2209	WA2DE	KIN	PJ7AR	DX
PJ2	1	28300	PH	2025-10-18	2002	KD2DLL	SCH	PJ2Y	DX
P4	1	14049	CW	2025-10-18	1452	KM2L	ERI	P4/K7ADS	DX
OZ	1	21232	PH	2025-10-18	1448	WA2DNI	RIC	OZ7X	DX
OA	1	28000	CW	2025-10-18	1756	W2OW	BRM	OA2ATL	DX
HR	1	28419	PH	2025-10-18	1406	WA2CP	RIC	HR2CG	DX
GU	1	21232	PH	2025-10-18	1458	WA2DNI	RIC	GU6EFB	DX
E7	1	14247	PH	2025-10-18	1929	W2PJ	ONO	E78FK	DX
DU	1	21232	PH	2025-10-18	1509	WA2DNI	RIC	DX0X	DX
CX	1	28383	PH	2025-10-18	1714	W2CCC	HER	CX3AT	DX
CU	1	28000	PH	2025-10-18	1633	W2OW	BRM	CT8/KC1QDZ	DX
CT3	1	14042	CW	2025-10-18	2114	W2FU	MON	CT9/WT3J	DX
9Y	1	14150	PH	2025-10-18	2118	WB2JLR	ONT	9Y4M	DX
5B	1	21232	PH	2025-10-18	1433	WA2DNI	RIC	5B4SPL	DX
4X	1	28038	CW	2025-10-18	1401	W2FU	MON	4X1WQ	DX
YT	2	28038	CW	2025-10-18	1412	W2FU	MON	YT1AR	DX
V3	2	28074	DG	2025-10-18	2303	KE2DEB	COL	V3IDL	DX
UA9	2	14096	DG	2025-10-18	2210	KB2URI	ERI	RW0SR	DX
TI	2	14241	PH	2025-10-18	2225	KS2G	NAS	TI4LAS	DX
OK	2	7037	CW	2025-10-18	1913	W2TZ	STE	K2A/OL	COL
LU	2	14074	DG	2025-10-18	2321	W2E	ERI	LU2FWK	DX
JA	2	14045	CW	2025-10-18	2218	K2NV	ERI	JL1IEO	DX
IS	2	28000	CW	2025-10-18	1451	W2OW	BRM	IS0BOY	DX
GI	2	14033	CW	2025-10-18	2020	N2MF	ONO	MI0H	DX
EA8	2	7169	PH	2025-10-18	2156	KO8SCA	ONO	EA8BQH	DX
CT	2	21238	PH	2025-10-18	1841	N2Y	ORA	CT2GXK	DX
A6	2	21232	PH	2025-10-18	1458	WA2DNI	RIC	A61NN	DX
9A	2	28041	CW	2025-10-18	1423	W2FU	MON	9A7KZ	DX
PJ5	3	28300	PH	2025-10-18	2041	KE2X	ORA	PJ6Y	DX
OE	3	21322	PH	2025-10-18	1421	KE2CWJ	ONO	OE5SOS	DX
LX	3	14280	PH	2025-10-18	1844	K2PTC	NAS	LX9S	DX
KH2	3	14000	PH	2025-10-18	1413	N3ARB	SCU	AH2EJ	VA
CE	3	14267	PH	2025-10-19	0027	N2Y	PUT	XQ3YT	DX
UA	4	28034	CW	2025-10-18	1408	K2NV	ERI	RY3D	DX
HP	4	14235	PH	2025-10-18	2304	AH2O	NAS	HP1ELJ	DX
HI	4	14267	PH	2025-10-18	1939	N2Y	ORA	HI3ARY	DX
GM	4	21200	PH	2025-10-18	1628	N3KTA	CAT	MM9SAT	DX
EU	4	28034	CW	2025-10-18	1415	K2NV	ERI	EU1TN	DX
CM	4	14242	PH	2025-10-18	2016	AH2O	NAS	CM2QV	DX
SV	5	28034	CW	2025-10-18	1401	K2NV	ERI	SV1ENV	DX
UR	6	28034	CW	2025-10-18	1412	K2NV	ERI	UR5KO	DX
SM	6	14318	PH	2025-10-18	1856	K2IW	ALB	SM3NRY	DX
EI	6	21042	CW	2025-10-18	1821	KC2KY	SUF	EI3HY	DX
YV	7	14236	PH	2025-10-18	2219	AH2O	NAS	YV5RAB	DX
PY	7	28031	CW	2025-10-18	2239	N2ZX	SAR	PY2ZMN	DX
LZ	7	28034	CW	2025-10-18	1409	K2NV	ERI	LZ1WF	DX
HK	7	14343	PH	2025-10-18	2111	KO8SCA	ONO	HK4SSI	DX
KH6	9	28000	CW	2025-10-18	1935	K2EAG	SCU	KH6KB	HI
HA	9	14038	CW	2025-10-18	1547	K2NV	ERI	HA9RE	DX
ON	10	28382	PH	2025-10-18	1421	W2CCC	HER	ON8MIC	DX
SP	16	21000	CW	2025-10-18	1751	K2EAG	SCU	SP9RXP	DX
PA	16	28034	CW	2025-10-18	1416	K2NV	ERI	PA3CNO	DX
KL	16	14236	PH	2025-10-18	2225	AH2O	NAS	WL7KV	OR
HB	16	14039	CW	2025-10-18	1957	K2A	REN	HB9CC	DX
8P	20	14039	CW	2025-10-18	1646	K2A	SUL	8P5A	DX
KP2	21	14039	CW	2025-10-18	2045	K2A	WAS	KP2M	DX
XE	22	28031	CW	2025-10-18	2217	AB3CX	OTS	XE1AY	DX
OH	34	21042	CW	2025-10-18	1803	AB3CX	OTS	OH7MA	DX
KP4	36	14039	CW	2025-10-18	1409	K2A	SCU	WP3PW	DX
LY	38	14040	CW	2025-10-18	1544	K2A	BRM	LY5A	DX
I	54	14242	PH	2025-10-18	2052	AH2O	NAS	IZ0JRO	DX
EA	92	14039	CW	2025-10-18	1701	K2A	SUL	EA3NO	DX
G	98	14284	PH	2025-10-18	1416	AH2O	NAS	G4XNR	DX
F	109	7038	CW	2025-10-18	2101	K2A	REN	F8PDR	DX
OM	360	14025	CW	2025-10-18	1505	AA2ZW	ERI	OM2VL	DX
DL	506	7000	CW	2025-10-19	0056	AA2ZW	ERI	DK9PY	DX
VE	2,176	7000	CW	2025-10-18	1407	AA2ZW	ERI	VE3OMV	ON
K	73,075	14050	CW	2025-10-18	1436	AA0AW	MN	N2PA	STE
