Call	Qso count	Bust count	Bust %	Nil count	Nil %	Caused nil count	Caused nil %	Nil + Caused nil %
W3LBY       	1	1	 100.0	0	   0.0	3	 300.0	 300.0
VA2NW       	1	0	   0.0	0	   0.0	0	   0.0	   0.0
KG6WSW      	1	0	   0.0	0	   0.0	0	   0.0	   0.0
KB0HP       	1	0	   0.0	1	 100.0	1	 100.0	 200.0
KA2YRA      	1	0	   0.0	0	   0.0	0	   0.0	   0.0
DO6AN       	1	0	   0.0	0	   0.0	0	   0.0	   0.0
AB5XM       	1	0	   0.0	0	   0.0	0	   0.0	   0.0
KX1W        	2	0	   0.0	0	   0.0	0	   0.0	   0.0
KL7P        	2	0	   0.0	2	 100.0	2	 100.0	 200.0
K1AJT       	2	0	   0.0	0	   0.0	0	   0.0	   0.0
WI2M        	3	0	   0.0	0	   0.0	0	   0.0	   0.0
N0XT        	3	0	   0.0	0	   0.0	1	  33.3	  33.3
KA1SOL      	3	0	   0.0	1	  33.3	0	   0.0	  33.3
K4MBU       	3	0	   0.0	0	   0.0	0	   0.0	   0.0
EA5XQ       	3	0	   0.0	0	   0.0	0	   0.0	   0.0
AC3LW       	3	0	   0.0	0	   0.0	0	   0.0	   0.0
NO2D        	4	0	   0.0	0	   0.0	0	   0.0	   0.0
N9PCS       	4	0	   0.0	0	   0.0	0	   0.0	   0.0
KG2U        	4	0	   0.0	0	   0.0	0	   0.0	   0.0
K0CLW       	4	0	   0.0	0	   0.0	0	   0.0	   0.0
N0KTB       	5	0	   0.0	0	   0.0	0	   0.0	   0.0
KN7Y        	5	0	   0.0	0	   0.0	0	   0.0	   0.0
AB2NM       	5	0	   0.0	0	   0.0	0	   0.0	   0.0
WT0RJ       	6	0	   0.0	0	   0.0	0	   0.0	   0.0
W6ECK       	6	0	   0.0	1	  16.7	1	  16.7	  33.3
VA3PNL      	6	1	  16.7	0	   0.0	0	   0.0	   0.0
KI6KGC      	6	0	   0.0	0	   0.0	0	   0.0	   0.0
KC5LL       	6	0	   0.0	0	   0.0	0	   0.0	   0.0
VE2GT       	7	0	   0.0	0	   0.0	0	   0.0	   0.0
SP1AEN      	7	0	   0.0	0	   0.0	0	   0.0	   0.0
NV1Y        	7	0	   0.0	1	  14.3	2	  28.6	  42.9
N7HYV       	7	0	   0.0	0	   0.0	0	   0.0	   0.0
KI4MCW      	7	0	   0.0	0	   0.0	0	   0.0	   0.0
KF8I        	7	0	   0.0	0	   0.0	0	   0.0	   0.0
KD9MGZ      	7	1	  14.3	1	  14.3	1	  14.3	  28.6
KC1YJA      	7	0	   0.0	0	   0.0	1	  14.3	  14.3
K1SOE       	7	0	   0.0	1	  14.3	0	   0.0	  14.3
AJ4HP       	7	1	  14.3	0	   0.0	0	   0.0	   0.0
AC7DD       	7	0	   0.0	0	   0.0	0	   0.0	   0.0
NR0P        	8	0	   0.0	0	   0.0	0	   0.0	   0.0
NG7X        	8	0	   0.0	0	   0.0	0	   0.0	   0.0
N9DEK       	8	0	   0.0	0	   0.0	2	  25.0	  25.0
N2LOL       	8	0	   0.0	0	   0.0	0	   0.0	   0.0
K1HG        	8	0	   0.0	1	  12.5	0	   0.0	  12.5
WB8ASI      	9	0	   0.0	0	   0.0	0	   0.0	   0.0
KK4CS       	9	0	   0.0	0	   0.0	0	   0.0	   0.0
AK0CM       	9	0	   0.0	0	   0.0	0	   0.0	   0.0
AC3MR       	9	1	  11.1	0	   0.0	7	  77.8	  77.8
W6AGZ       	10	0	   0.0	0	   0.0	0	   0.0	   0.0
W0CN        	10	0	   0.0	0	   0.0	1	  10.0	  10.0
NX4N        	10	0	   0.0	0	   0.0	0	   0.0	   0.0
N0UJJ       	10	0	   0.0	0	   0.0	0	   0.0	   0.0
K2IRM       	10	0	   0.0	0	   0.0	1	  10.0	  10.0
W4ZGR       	11	0	   0.0	1	   9.1	0	   0.0	   9.1
N5OHL       	11	2	  18.2	0	   0.0	0	   0.0	   0.0
N5JDT       	11	0	   0.0	0	   0.0	0	   0.0	   0.0
K3PA        	11	0	   0.0	0	   0.0	1	   9.1	   9.1
AI5BE       	11	0	   0.0	0	   0.0	0	   0.0	   0.0
VE9RLW      	12	0	   0.0	0	   0.0	1	   8.3	   8.3
VE2VAB      	12	0	   0.0	0	   0.0	0	   0.0	   0.0
KI5MM       	12	0	   0.0	0	   0.0	0	   0.0	   0.0
KI4AMD      	12	0	   0.0	1	   8.3	0	   0.0	   8.3
KE8ZLT      	12	2	  16.7	0	   0.0	0	   0.0	   0.0
KB2LUV      	12	0	   0.0	1	   8.3	1	   8.3	  16.7
F4EUG       	12	0	   0.0	1	   8.3	0	   0.0	   8.3
W8BZY       	13	2	  15.4	0	   0.0	0	   0.0	   0.0
W0DCN       	13	1	   7.7	0	   0.0	0	   0.0	   0.0
