AB5XM:       Thanks for sponsoring the contest!
AC3LW:       Visiting family in Saratoga Springs. Put an EFRW in a backyard. Made a DX contact with an airline pilot heading from Ireland to Newark. tree
AD4GG:       Enjoyed participating in the NY QSO Party this year. Thanks to everyone who put this together and for all the stations! See y'all next year!
K2MN:        Used two indoor fan dipoles and 90 Watts
K2TV:        25 watts to a magnetic loop antenna. Had a computers failure halfway through the contest, but think I saved everyting OK
K3GHH:       Always glad to offer Essex County from my camp
K3TW:        'Many thanks for another very enjoyable New York QSO Party.'
KA0PQW:      fun contest
KE0TT:       K3/10 driving a HB amp to 100 watts out. Wire antennas. Lots of activity, thanks for the fun! Band condx towards evening kept me from hearing most mobiles, so I hope they were still running Q's throughout. C U 73, Dan ke0tt
KF3G:        Operated from FM29jw Contacts: 48 Counties Multiplier: 20 48 QSOs x 2 CW Multiplier = 96 QSO Points 96 QSO Points x 20 Total Multipliers = 1920 Total Points. Thank you for the 2025 New York QSO Party
KK4NZH:      Lots of fun
N2PEQ:       wish I could have spent more time
N2TO:        Thanks for a great contest. Outdoor portable, Richmond County, FT-857D, CW 5W, Phone 20W, homemade 44' center-fed inverted-vee doublet up 18.67'
N2Y:         We've been planning this for months, and then the sun had to
N3KI:        One of the better state QSO parties. Plenty of mobiles available. Well done. Still not able to pickup Rockland county and the buroughs of the city, Also missed Nassau county despite many ops coming thru from Suffolk. Too bad, maybe next year. Overall a good time
N8DNA:       CERTIFICATE:YES
N9PCS:       just entered so i can qualify for a late season QSO Party Challenge
NO2D:        NY not strong here in CO on Saturday. My 5 watts not getting thru very often
NV1Y:        BSA JOTA activity
W1QK:        Thanks for the QSO Party contacts 73, Dan- W1QK
W1SSN:       some dupes
W2LC:        I spent most of the summer optimizing my mobile set-up and I was planning on a mobile effort but with travel the week before the QSO party I opted for a home effort instead. I was just too tired from four days of driving Monday through Thursday to go out driving again on Saturday. So next year for NNY!
W3TB:        W3TB in Franklin, Tennessee Tennessee Contest Group
W9TCV:       Operated on the county line of ROC/ORA in Harriman SP. Was going to head to other counties, but the contacts kept coming and it was getting dark, so I powered through until just before the contest ended. Late start and early end, but got 100 contacts with 20W and a vert on my bike rack. Thanks to all who participated and 73, W9TCV
WQ6X:        This is another WQ6X NYQP running from Anza. While there was plenty of activity in the day, ending at 02:00z made it impossible for the left coast to work NY on 8-meters, and barely enough time to find stations on 40-meters. Read more about this at: http://WQ6X.Blogspot.com
